id,utterance,pattern_count,source
meta_002764,"He doesn't call me, so he hates me",1,synthetic
meta_001051,I never do anything right,1,synthetic
meta_000907,Nobody wants to be around me,1,synthetic
meta_000702,I'm doing better now,1,synthetic
meta_001432,I must not let anyone down,1,synthetic
meta_001238,I must succeed at everything,1,synthetic
meta_000942,I'll never be good enough,1,synthetic
meta_000480,They broke their promise to me,1,synthetic
meta_000203,It's all their fault,1,synthetic
meta_002335,You make me angry,1,synthetic
meta_002880,"After I fail, nobody will want me",1,synthetic
meta_002441,His behavior drives me crazy,1,synthetic
meta_001443,I must succeed at everything,1,synthetic
meta_002469,He causes all my problems,1,synthetic
meta_001126,I always mess things up,1,synthetic
meta_002620,"She didn't text back, so she's rejecting me",1,synthetic
meta_000808,She's more capable than me,1,synthetic
meta_001871,I'm trapped in my sadness,1,synthetic
meta_002569,"He doesn't call me, so he hates me",1,synthetic
meta_001577,I can't forgive myself,1,synthetic
meta_002284,People look at me like I'm pathetic,1,synthetic
meta_002641,"He doesn't call me, so he hates me",1,synthetic
meta_002109,Everyone knows I'm a loser,1,synthetic
meta_002071,I know they don't like me,1,synthetic
meta_000275,People always judge me for it,1,synthetic
meta_001301,I need to fix everything,1,synthetic
meta_001682,It's impossible for me to be happy,1,synthetic
meta_001143,"Every time I try, I fail",1,synthetic
meta_002855,"As my depression deepens, I'll lose everyone",1,synthetic
meta_000812,I'm stronger than I used to be,1,synthetic
meta_002060,He judges me for everything,1,synthetic
meta_002865,"Before I disappoint them, I should leave",1,synthetic
meta_002708,"He's busy, which proves he doesn't care",1,synthetic
meta_000819,I'm stronger than I used to be,1,synthetic
meta_002459,Your words destroyed my confidence,1,synthetic
meta_000378,Life keeps throwing challenges at me,1,synthetic
meta_002458,He causes all my problems,1,synthetic
meta_002214,He judges me for everything,1,synthetic
meta_001981,The anger is consuming me,1,synthetic
meta_001785,The rejection really hurt me,1,synthetic
meta_001587,I can't forgive myself,1,synthetic
meta_001859,I'm in a deep depression,1,synthetic
meta_000360,I don't understand what he wants from me,1,synthetic
meta_000794,She's more capable than me,1,synthetic
meta_001115,Nobody ever listens to me,1,synthetic
meta_000729,I'm less anxious about it now,1,synthetic
meta_001078,All my relationships fail,1,synthetic
meta_002558,"He doesn't call me, so he hates me",1,synthetic
meta_002420,You make me angry,1,synthetic
meta_001083,Nobody wants to be around me,1,synthetic
meta_002605,"He's busy, which proves he doesn't care",1,synthetic
meta_002662,"They left me, so I'm unlovable",1,synthetic
meta_001554,I'm incapable of loving myself,1,synthetic
meta_000514,He did it again,1,synthetic
meta_002988,"As my depression deepens, I'll lose everyone",1,synthetic
meta_000527,People keep doing hurtful things,1,synthetic
meta_000817,I'm better off alone,1,synthetic
meta_001095,Everyone judges me,1,synthetic
meta_002888,"If things get worse, I won't handle it",1,synthetic
meta_002683,"He's busy, which proves he doesn't care",1,synthetic
meta_000122,She thinks I'm a failure,1,synthetic
meta_000473,She's been acting strange lately,1,synthetic
meta_000218,They all talk about me behind my back,1,synthetic
meta_001215,I have to please everyone,1,synthetic
meta_002958,"Since I always mess up, why bother trying",1,synthetic
meta_000139,They all talk about me behind my back,1,synthetic
meta_000558,They broke their promise to me,1,synthetic
meta_000305,People always judge me for it,1,synthetic
meta_000975,Everything is always my fault,1,synthetic
meta_002471,You make me angry,1,synthetic
