id,utterance,primary_emotion,secondary_emotion,intensity,confidence,annotator_id,source,created_at
emot_000385,I've been feeling lost since my children left home. I don't know who I am without that role.,sadness,anxiety,0.7413,0.8301,ann_008,forum_scrape,2025-02-19T00:00:00Z
emot_001108,I feel like I've never deserved the good things I've had.,shame,guilt,0.9165,0.8477,ann_008,forum_scrape,2025-02-18T00:00:00Z
emot_001110,I'm ashamed of the version of myself that appears in relationships.,shame,guilt,0.9008,0.7919,ann_001,synthetic,2025-07-21T00:00:00Z
emot_000105,I can't slow down even when I'm supposed to be resting.,anxiety,,0.9196,0.7685,ann_015,synthetic,2025-01-21T00:00:00Z
emot_000854,I feel like I'm trapped in a life I didn't choose and can't escape.,hopelessness,anxiety,0.8863,0.7793,ann_007,crisis_text_line,2025-02-22T00:00:00Z
emot_000266,I feel deeply sad for children going through things no child should face.,sadness,,0.8404,0.8672,ann_012,clinical_notes,2025-09-08T00:00:00Z
emot_001287,I've been thinking about how to improve my communication at work.,neutral,,0.1949,0.7748,ann_006,clinical_notes,2025-06-17T00:00:00Z
emot_000056,I can't be in social situations without analysing every interaction afterward.,anxiety,sadness,0.8102,0.9554,ann_003,synthetic,2025-02-11T00:00:00Z
emot_001124,I carry the shame of what was done to me even though I know rationally it wasn't my fault.,shame,,0.8129,0.8715,ann_010,synthetic,2025-08-05T00:00:00Z
emot_001290,I'm trying to figure out how to balance work and rest more effectively.,neutral,,0.3628,0.8006,ann_014,synthetic,2025-12-03T00:00:00Z
emot_000579,Nobody takes my concerns seriously. It's infuriating.,anger,,0.8953,0.8646,ann_002,synthetic,2025-06-11T00:00:00Z
emot_000146,I'm scared of the silence in my own head.,anxiety,,0.702,0.9309,ann_009,clinical_notes,2025-07-07T00:00:00Z
emot_001102,I'm ashamed of the ways I've tried to escape my pain.,shame,,0.9431,0.8596,ann_010,synthetic,2025-10-16T00:00:00Z
emot_000819,I've given up on my dreams. They were never going to happen anyway.,hopelessness,,0.8556,0.945,ann_009,clinical_notes,2025-05-13T00:00:00Z
emot_001074,I'm ashamed of needing help. I should have been able to handle this on my own.,shame,hopelessness,0.8071,0.9587,ann_010,forum_scrape,2025-07-09T00:00:00Z
emot_000104,I think I need help but I'm scared of what they'll say.,anxiety,hopelessness,0.8775,0.9084,ann_007,synthetic,2025-12-25T00:00:00Z
emot_000381,I feel like there is a version of me that died with her.,sadness,guilt,0.7833,0.9218,ann_010,forum_scrape,2025-10-13T00:00:00Z
emot_001231,I've been working on a personal project that I enjoy.,neutral,,0.3348,0.8948,ann_014,synthetic,2025-05-24T00:00:00Z
emot_000093,I keep checking my phone obsessively. What if I missed something important?,anxiety,hopelessness,0.8768,0.765,ann_002,clinical_notes,2025-09-09T00:00:00Z
emot_000731,I'm terrified of the surgery. What if I don't wake up?,fear,sadness,0.9263,0.8519,ann_001,synthetic,2026-01-13T00:00:00Z
emot_000057,I feel like I'm always one mistake away from everything falling apart.,anxiety,sadness,0.8916,0.9125,ann_007,synthetic,2025-02-02T00:00:00Z
emot_000077,I've been isolating myself and I know it's making the anxiety worse.,anxiety,,0.734,0.9721,ann_010,crisis_text_line,2025-05-19T00:00:00Z
emot_000871,I've lost the belief that things can be different.,hopelessness,guilt,0.8898,0.9041,ann_001,synthetic,2025-03-10T00:00:00Z
emot_000958,I should have been there. I chose to be somewhere else.,guilt,shame,0.8808,0.8521,ann_001,synthetic,2025-11-27T00:00:00Z
emot_000044,I've been checking my pulse multiple times a day. I can't stop.,anxiety,sadness,0.8971,0.8895,ann_008,synthetic,2025-06-14T00:00:00Z
emot_000904,I've been carrying guilt about the things I said in the heat of the argument.,guilt,,0.5222,0.7629,ann_001,synthetic,2026-01-05T00:00:00Z
emot_000920,I should have been a better parent when they were small. I know that now.,guilt,sadness,0.7709,0.7511,ann_004,synthetic,2025-05-01T00:00:00Z
emot_001264,I've been thinking about reconnecting with a few old friends I've fallen out of touch with.,neutral,,0.4545,0.8214,ann_009,forum_scrape,2025-04-14T00:00:00Z
emot_000099,My chest gets tight whenever I think about the future.,anxiety,sadness,0.5445,0.9086,ann_005,synthetic,2025-08-29T00:00:00Z
emot_000333,My best friend moved to another country and I don't know how to be without her.,sadness,fear,0.7322,0.8452,ann_014,synthetic,2025-10-16T00:00:00Z
emot_000802,I've given up on happiness as a realistic goal for me.,hopelessness,sadness,0.6968,0.8534,ann_002,clinical_notes,2025-07-05T00:00:00Z
emot_000889,I feel like I'm the person the inspirational stories don't work for.,hopelessness,,0.6406,0.7694,ann_010,crisis_text_line,2025-03-16T00:00:00Z
emot_000811,I've been unable to imagine waking up and feeling like the day is worth having.,hopelessness,guilt,0.6592,0.7584,ann_011,clinical_notes,2025-01-17T00:00:00Z
emot_000724,"I'm terrified of another panic attack, which makes the panic attacks worse.",fear,anxiety,0.7182,0.7754,ann_010,synthetic,2025-08-22T00:00:00Z
emot_000787,I feel like the hopelessness is the clearest thing I feel.,hopelessness,guilt,0.6416,0.9083,ann_003,clinical_notes,2025-09-02T00:00:00Z
emot_000038,I've been using alcohol to quiet the anxiety and I know it's not helping.,anxiety,,0.6431,0.8826,ann_001,forum_scrape,2025-05-11T00:00:00Z
emot_000755,I've tried so hard and I've run out of trying.,hopelessness,,0.9645,0.7707,ann_005,crisis_text_line,2025-08-10T00:00:00Z
