id,utterance,sentiment,valence_score,confidence,session_context,source,annotator_id,created_at
sent_000130,My situation is only getting worse,negative,-0.9455050778825376,0.78,therapeutic_progress,synthetic,ann_003,2026-03-12T01:12:00.018392Z
sent_000552,I'm done with trying,negative,-1.0,0.83,crisis_moment,synthetic,ann_003,2026-03-12T01:12:00.019690Z
sent_000416,Everything feels pointless,negative,-0.513004538250273,0.91,information_seeking,synthetic,ann_004,2026-03-12T01:12:00.019251Z
sent_001688,Nothing much has changed,neutral,0.2255118905359021,0.92,insight_moment,synthetic,ann_001,2026-03-12T01:12:00.025128Z
sent_001991,I've been busy with work,neutral,0.0225908200080456,0.98,routine_conversation,synthetic,ann_004,2026-03-12T01:12:00.026221Z
sent_000723,My situation is only getting worse,negative,-1.0,0.9,therapeutic_progress,synthetic,ann_002,2026-03-12T01:12:00.020236Z
sent_001109,Mujhe sukhd raha hoon,positive,0.4159458419475023,0.8,crisis_moment,synthetic,ann_002,2026-03-12T01:12:00.023240Z
sent_000940,I'm managing better than I thought,positive,0.6647044188820805,0.91,routine_conversation,synthetic,ann_003,2026-03-12T01:12:00.022693Z
sent_000691,I'm emotionally numb,negative,-0.6235591492191391,0.91,crisis_moment,synthetic,ann_004,2026-03-12T01:12:00.020133Z
sent_000384,I don't want to talk about it,negative,-0.6528018428023636,0.75,breakthrough_realization,synthetic,ann_005,2026-03-12T01:12:00.019156Z
sent_001339,I actually made it through the day,positive,0.6217578610504184,0.95,crisis_moment,synthetic,ann_004,2026-03-12T01:12:00.023944Z
sent_000325,Everything feels pointless,negative,-0.7762846553271613,0.76,therapeutic_progress,synthetic,ann_001,2026-03-12T01:12:00.018974Z
sent_000997,Aaj mera din badhiya gaya,positive,0.4958295448797973,0.79,processing_emotion,synthetic,ann_002,2026-03-12T01:12:00.022891Z
sent_000452,I'm disconnected from everything,negative,-0.737993853938615,0.86,breakthrough_realization,synthetic,ann_001,2026-03-12T01:12:00.019368Z
sent_001775,Same situation as before,neutral,-0.0904227260929928,0.93,information_seeking,synthetic,ann_001,2026-03-12T01:12:00.025425Z
sent_000032,Everything feels empty inside,negative,-0.5342772165719275,0.99,insight_moment,synthetic,ann_002,2026-03-12T01:12:00.018106Z
sent_000747,I'm slipping deeper into this hole,negative,-0.3436658771014396,0.94,routine_conversation,synthetic,ann_005,2026-03-12T01:12:00.020312Z
sent_000240,I'm done with trying,negative,-0.8562849179906953,0.77,breakthrough_realization,synthetic,ann_004,2026-03-12T01:12:00.018715Z
