id,utterance,sentiment,valence_score,confidence,session_context,source,annotator_id,created_at
sent_001861,Let's talk about something different,neutral,-0.021842138601338143,0.85,insight_moment,synthetic,ann_004,2026-03-12T01:12:00.025735Z
sent_000354,I'm drowning in this situation,negative,-0.31989985624783135,0.84,breakthrough_realization,synthetic,ann_005,2026-03-12T01:12:00.019057Z
sent_001334,Main halka mahsoos kar raha hoon,positive,0.7719806489507062,0.88,resistance_avoidance,synthetic,ann_004,2026-03-12T01:12:00.023929Z
sent_000906,I did something good for myself today,positive,0.7675002729815935,0.98,breakthrough_realization,synthetic,ann_004,2026-03-12T01:12:00.022587Z
sent_001290,I managed to go for a walk,positive,0.7680861161258662,0.86,processing_emotion,synthetic,ann_001,2026-03-12T01:12:00.023796Z
sent_001274,I feel hopeful about the future,positive,0.7432108036911774,0.99,breakthrough_realization,synthetic,ann_003,2026-03-12T01:12:00.023750Z
sent_000939,I managed to get out of bed today,positive,0.3871757916558297,0.9,breakthrough_realization,synthetic,ann_004,2026-03-12T01:12:00.022690Z
sent_001732,Yeh samajh aaya,neutral,-0.038879250336321794,0.79,insight_moment,synthetic,ann_002,2026-03-12T01:12:00.025275Z
sent_000066,I'm just going through the motions,negative,-0.9610933590006966,0.8,processing_emotion,synthetic,ann_002,2026-03-12T01:12:00.018208Z
sent_001324,I'm managing better than I thought,positive,0.6809644843626034,0.78,insight_moment,synthetic,ann_001,2026-03-12T01:12:00.023898Z
sent_000057,Everything is falling apart,negative,-0.5134486546775779,0.82,insight_moment,synthetic,ann_001,2026-03-12T01:12:00.018179Z
sent_001293,I took a small step for myself,positive,0.6122688312864862,0.81,breakthrough_realization,synthetic,ann_004,2026-03-12T01:12:00.023806Z
sent_001119,I'm learning new ways to cope,positive,0.6180826163800416,0.9,routine_conversation,synthetic,ann_002,2026-03-12T01:12:00.023270Z
sent_000585,Sab kuch bekar lag raha hai,negative,-0.6320274652272843,0.73,insight_moment,synthetic,ann_001,2026-03-12T01:12:00.019791Z
sent_000375,"It's nothing serious, I'm coping",negative,-0.39036857722605256,0.87,routine_conversation,synthetic,ann_004,2026-03-12T01:12:00.019117Z
sent_000276,I'm drowning in this situation,negative,-0.25,1.0,resistance_avoidance,synthetic,ann_005,2026-03-12T01:12:00.018817Z
sent_000747,I'm slipping deeper into this hole,negative,-0.34366587710143964,0.94,routine_conversation,synthetic,ann_005,2026-03-12T01:12:00.020312Z
sent_000129,Sab kuch bekar lag raha hai,negative,-0.6563413655075848,0.84,breakthrough_realization,synthetic,ann_004,2026-03-12T01:12:00.018390Z
sent_001647,I hear you,neutral,0.14676574244579665,0.86,insight_moment,synthetic,ann_005,2026-03-12T01:12:00.024998Z
sent_001853,Same situation as before,neutral,0.05258033710428192,0.92,crisis_moment,synthetic,ann_002,2026-03-12T01:12:00.025698Z
sent_000675,I'm done with trying,negative,-0.39744211219215037,0.96,therapeutic_progress,synthetic,ann_001,2026-03-12T01:12:00.020084Z
sent_001665,Things are as they usually are,neutral,0.31147974491428687,0.97,information_seeking,synthetic,ann_004,2026-03-12T01:12:00.025056Z
sent_001982,I hear you,neutral,-0.10788722016193468,0.88,resistance_avoidance,synthetic,ann_005,2026-03-12T01:12:00.026176Z
sent_001084,Things are looking up a little,positive,0.45212519730480527,0.88,therapeutic_progress,synthetic,ann_004,2026-03-12T01:12:00.023160Z
sent_001923,I hear you,neutral,-0.1438916321836302,0.86,crisis_moment,synthetic,ann_002,2026-03-12T01:12:00.025969Z
sent_000100,Each day is harder than the last,negative,-0.7337639967084149,0.91,resistance_avoidance,synthetic,ann_003,2026-03-12T01:12:00.018304Z
sent_001180,I did something good for myself today,positive,0.8989479115708346,0.94,therapeutic_progress,synthetic,ann_004,2026-03-12T01:12:00.023453Z
sent_000965,Aaj mene khud ko samjha,positive,0.5967020666190893,0.81,insight_moment,synthetic,ann_004,2026-03-12T01:12:00.022790Z
