id,utterance,topics,primary_topic,confidence,source,annotator_id,created_at
topic_000001,My thesis is due and I've barely started — I'm in panic mode.,"[""academic_stress""]",academic_stress,0.88,synthetic,ann_001,2024-09-13T01:40:49Z
topic_000002,I had to sell my home because of financial difficulties.,"[""financial_stress""]",financial_stress,0.87,synthetic,ann_004,2025-02-12T23:36:52Z
topic_000003,I'm struggling to study because my family is going through a crisis.,"[""academic_stress"", ""relationship_issues""]",academic_stress,0.82,synthetic,ann_002,2024-10-28T10:34:34Z
topic_000004,Paise ki bahut taqleef hai aur samajh nahi aa raha kya karoon.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_002,2024-08-21T10:39:50Z
topic_000005,I'm working in a terrible environment but the pay is keeping me there.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.9,synthetic,ann_004,2024-12-28T00:19:21Z
topic_000006,Ghar mein financial stress aur rishton mein khichaav ek saath chal raha hai.,"[""relationship_issues"", ""financial_stress""]",relationship_issues,0.9,synthetic,ann_005,2024-06-26T05:09:10Z
topic_000007,My sibling is going through something terrible and I feel helpless.,"[""relationship_issues""]",relationship_issues,0.9,synthetic,ann_005,2024-10-21T12:13:17Z
topic_000008,I have health anxiety and I constantly fear the worst.,"[""health_concerns""]",health_concerns,0.92,synthetic,ann_001,2025-01-13T03:39:04Z
topic_000009,I feel trapped in a job I hate but I can't afford to leave.,"[""workplace_stress""]",workplace_stress,0.88,synthetic,ann_001,2024-09-05T00:50:50Z
topic_000010,I feel trapped in a job I hate but I can't afford to leave.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_001,2024-06-05T18:19:18Z
topic_000011,I've made terrible financial decisions and I can't forgive myself.,"[""financial_stress""]",financial_stress,0.9,synthetic,ann_004,2024-10-07T09:26:56Z
topic_000012,My business failed and I've lost everything I worked for.,"[""financial_stress""]",financial_stress,0.87,synthetic,ann_002,2024-07-11T06:40:34Z
topic_000013,I have ADHD and a chronic illness and I'm struggling academically.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.82,synthetic,ann_003,2024-12-27T16:30:35Z
topic_000014,My children are struggling and I feel like a failure as a parent.,"[""relationship_issues""]",relationship_issues,0.92,synthetic,ann_001,2024-12-13T22:44:15Z
topic_000015,I'm completely burned out from working 12-hour days.,"[""workplace_stress""]",workplace_stress,0.92,synthetic,ann_001,2024-09-17T09:38:00Z
topic_000016,I feel like I give so much in relationships and get nothing back.,"[""relationship_issues""]",relationship_issues,0.95,synthetic,ann_005,2024-11-05T01:29:40Z
topic_000017,I have a chronic illness and it's making it impossible to keep up with my studies.,"[""academic_stress"", ""health_concerns""]",academic_stress,0.87,synthetic,ann_001,2025-01-30T00:48:27Z
topic_000018,I'm so stressed about my upcoming exams that I can't sleep.,"[""academic_stress""]",academic_stress,0.88,synthetic,ann_004,2024-10-23T02:41:34Z
topic_000019,I'm using credit cards to survive and the interest is piling up.,"[""financial_stress""]",financial_stress,0.87,synthetic,ann_004,2024-12-13T11:26:09Z
topic_000020,I feel trapped in a bad job because of my financial obligations.,"[""workplace_stress"", ""financial_stress""]",workplace_stress,0.82,synthetic,ann_004,2024-07-09T10:30:43Z
topic_000021,I have chronic pain that never goes away and it's affecting everything.,"[""health_concerns""]",health_concerns,0.9,synthetic,ann_003,2025-03-12T15:27:25Z
topic_000022,Boss se bahut problems ho rahi hain.,"[""workplace_stress""]",workplace_stress,0.95,synthetic,ann_003,2025-03-20T01:14:22Z
