id,utterance,primary_intent,secondary_intent,confidence,source,annotator_id,created_at
intent_000001,I need to schedule a session to discuss my anxiety.,book_appointment,,0.96,synthetic,ann_005,2025-02-10T05:23:18Z
intent_000002,"I want to start regular sessions, how do I book?",book_appointment,,0.92,synthetic,ann_003,2025-01-25T14:53:11Z
intent_000003,What is interpersonal therapy?,information_request,seek_support,0.95,synthetic,ann_005,2024-07-10T03:02:16Z
intent_000004,How do I schedule time with a counselor?,book_appointment,,0.9,synthetic,ann_005,2024-08-27T15:24:43Z
intent_000005,I'm scared of myself right now.,crisis_emergency,,0.93,synthetic,ann_001,2025-01-20T00:42:56Z
intent_000006,I want to take the PHQ-9 test.,assessment_request,seek_support,0.95,synthetic,ann_002,2024-07-22T12:57:55Z
intent_000007,What are the signs of burnout?,information_request,seek_support,0.95,synthetic,ann_001,2024-08-19T20:08:25Z
intent_000008,I've planned how I would end my life.,crisis_emergency,seek_support,0.95,synthetic,ann_004,2024-10-18T12:27:39Z
intent_000009,I'd like to set up a consultation call first.,book_appointment,,0.9,synthetic,ann_004,2024-10-23T22:27:38Z
intent_000010,I can't stop thinking about killing myself.,crisis_emergency,seek_support,0.95,synthetic,ann_005,2024-06-16T15:54:03Z
intent_000011,I've been having thoughts that it would be better if I wasn't here.,crisis_emergency,,0.95,synthetic,ann_001,2024-10-24T02:07:06Z
intent_000012,I can't take this anymore and I'm thinking of a way out.,crisis_emergency,,0.9,synthetic,ann_002,2024-08-26T16:14:07Z
intent_000013,I feel like I have no energy for anything.,seek_support,,0.88,synthetic,ann_004,2024-12-09T23:55:45Z
intent_000014,Can I book an appointment with a therapist?,book_appointment,,0.92,synthetic,ann_001,2024-09-10T06:35:27Z
intent_000015,I can't find the settings to change my preferences.,feedback_complaint,,0.95,synthetic,ann_002,2024-11-15T00:29:23Z
intent_000016,I'm having a mental health crisis.,crisis_emergency,,0.9,synthetic,ann_003,2024-07-01T16:32:03Z
intent_000017,How does this platform work?,information_request,,0.97,synthetic,ann_003,2025-02-20T07:42:17Z
intent_000018,What is the cycle of trauma?,information_request,,0.92,synthetic,ann_004,2024-08-05T11:50:03Z
intent_000019,I've been struggling with my mental health for a while now.,seek_support,book_appointment,0.88,synthetic,ann_002,2025-03-20T23:51:07Z
intent_000020,I need support to get through this difficult time.,seek_support,general_chat,0.9,synthetic,ann_001,2024-07-20T05:28:30Z
intent_000021,I want to take the mood questionnaire.,assessment_request,information_request,0.93,synthetic,ann_004,2024-12-07T07:24:33Z
intent_000022,What is bipolar disorder?,information_request,seek_support,0.95,synthetic,ann_003,2024-10-16T07:12:44Z
intent_000023,I need help getting through a very difficult period in my life.,seek_support,,0.97,synthetic,ann_002,2025-01-30T23:41:48Z
intent_000024,The therapist cancelled without notice.,feedback_complaint,,0.9,synthetic,ann_004,2024-12-28T13:59:05Z
intent_000025,I feel like disappearing forever.,crisis_emergency,,0.99,synthetic,ann_003,2024-09-24T21:59:50Z
intent_000026,I've been having thoughts of suicide.,crisis_emergency,seek_support,0.97,synthetic,ann_003,2024-09-14T08:18:26Z
intent_000027,How do antidepressants work?,information_request,,0.88,synthetic,ann_005,2024-06-03T06:58:55Z
intent_000028,I feel completely alone even when I'm around people.,seek_support,book_appointment,0.88,synthetic,ann_002,2024-06-08T21:57:19Z
intent_000029,I feel like I can't go on.,crisis_emergency,seek_support,0.97,synthetic,ann_005,2024-12-31T11:13:37Z
intent_000030,I feel like nobody understands what I'm going through.,seek_support,book_appointment,0.92,synthetic,ann_001,2025-03-18T21:24:43Z
intent_000031,Main jeena nahi chahta.,crisis_emergency,,0.93,synthetic,ann_004,2024-08-17T11:04:53Z
intent_000032,I feel like death is the only way out.,crisis_emergency,,0.93,synthetic,ann_004,2024-08-02T11:44:18Z
intent_000033,"I need to see a therapist urgently, how do I book?",book_appointment,,0.96,synthetic,ann_002,2024-10-11T02:49:28Z
intent_000034,I want to give feedback about my recent session.,feedback_complaint,,0.9,synthetic,ann_003,2024-12-31T15:07:46Z
intent_000035,I'm at the edge and I don't know what will happen.,crisis_emergency,,0.9,synthetic,ann_004,2025-01-11T11:52:03Z
intent_000036,Can I set up my first therapy session?,book_appointment,,0.98,synthetic,ann_004,2024-09-30T20:23:10Z
intent_000037,What are the symptoms of depression?,information_request,,0.92,synthetic,ann_005,2024-09-09T20:35:11Z
intent_000038,What does a first therapy session look like?,information_request,,0.97,synthetic,ann_004,2024-12-05T01:28:29Z
intent_000039,I want to set up a video session.,book_appointment,,0.94,synthetic,ann_004,2024-07-27T16:12:40Z
intent_000040,Your AI responses are generic and unhelpful.,feedback_complaint,,0.95,synthetic,ann_003,2025-01-22T04:38:35Z
intent_000041,I feel like my privacy is not being respected.,feedback_complaint,,0.9,synthetic,ann_001,2024-07-08T09:10:25Z
